Nom-plat,Complexitat,Dieta,Familia,Ingredient-principal,Intensitat-sabor,Origen-plat,Preu-plat,Temperatura,Temporada,Tipus-plat,Tipus-public,Estil-plat
Confit d’ànec,Alta,Carn,Forn,Ànec,Alta,França,19.4,Calent,Hivern,Segon,Adultsnens,Sibarita
Confit d’ànec amb poma caramel·litzada,Alta,Carn,Forn,Ànec,Alta,França,28.91,Calent,Hivern,Segon,Adultsnens,Sibarita
Croquetes casolanes,Baixa,Carn,Reboçat,Llet,Mitjana,Espanya,22.62,Calent,Anual,Segon,Adultsnens,Classic
Cuixa de cabrit al forn amb patates panadera,Alta,Carn,Forn,Cabrit,Alta,Espanya,23.4,Calent,Anual,Segon,Adultsnens,Classic
Entrecot de vedella amb salsa de bolets,Alta,Carn,Planxa,Vedella,Alta,Espanya,28.78,Calent,Tardor,Segon,Adultsnens,Classic
Entrecot de vedella amb salsa de pebre verd,Alta,Carn,Salsa,Vedella,Alta,França,24.71,Calent,Anual,Segon,Adultsnens,Classic
Escalopa de vedella amb patates fregides,Baixa,Carn,Fregit,Vedella,Alta,Espanya,34.99,Calent,Anual,Segon,Adultsnens,Classic
Espatlla de cabrit al forn de llenya,Alta,Carn,Forn,Cabrit,Alta,Espanya,30.33,Calent,Anual,Segon,Adultsnens,Classic
Espatlla de xai imperial al forn de llenya (lechazo),Alta,Carn,Forn,Xai (lechazo),Alta,Espanya,18.15,Calent,Anual,Segon,Adultsnens,Classic
Llom de lluç amb salsa de cava,Mitjana,Peix,Salsa,Lluç,Mitjana,Espanya,29.27,Calent,Anual,Segon,Adultsnens,Classic
Melós de vedella amb bolets,Alta,Carn,Estofat,Vedella,Alta,Espanya,19.85,Calent,Tardor,Segon,Adultsnens,Classic
Solomillo de porc ibèric amb crema d’ametlles,Mitjana,Carn,Forn,Porc ibèric,Alta,Espanya,25.48,Calent,Anual,Segon,Adultsnens,Classic
Solomillo de vedella al porto,Alta,Carn,Salsa,Vedella,Alta,Portugal,29.86,Calent,Anual,Segon,Adultsnens,Sibarita
Solomillo de vedella amb salsa roquefort,Alta,Carn,Salsa,Vedella,Alta,França,26.83,Calent,Anual,Segon,Adultsnens,Sibarita
Solomillo de vedella amb salsa pebre,Alta,Carn,Salsa,Vedella,Alta,França,21.76,Calent,Anual,Segon,Adultsnens,Sibarita
Solomillo ibèric amb reducció de pedro ximénez,Alta,Carn,Forn,Porc ibèric,Alta,Espanya,31.03,Calent,Anual,Segon,Adultsnens,Sibarita
Suprema de dorada amb salsa verda,Mitjana,Peix,Salsa,Dorada,Mitjana,Espanya,33.81,Calent,Anual,Segon,Adultsnens,Classic
Tournedó caçadora,Alta,Carn,Forn,Vedella,Alta,França,22.47,Calent,Tardor,Segon,Adultsnens,Classic
½ espatlla de xai al forn de llenya (ternasco),Alta,Carn,Forn,Xai,Alta,Espanya,24.83,Calent,Anual,Segon,Adultsnens,Classic
Coulant de xocolata amb gelat de vainilla,Alta,Vegetarià,Forn,Xocolata,Alta,França,5.75,Fred,Anual,Postres,Adultsnens,Classic
Fruites de temporada,Baixa,Vegà,Fruita,Fruites,Baixa,Espanya,8.4,Fred,Anual,Postres,Adultsnens,Classic
Gelat de vainilla amb xocolata calenta,Baixa,Vegetarià,Gelat,Llet,Mitjana,Europa,4.96,Fred,Anual,Postres,Adultsnens,Classic
Gelat de vainilla o xocolata,Baixa,Vegetarià,Gelat,Llet,Baixa,Europa,5.33,Fred,Anual,Postres,Adultsnens,Classic
Gelat o sorbet de llimona al cava,Mitjana,Vegetarià,Gelat,Llimona,Baixa,Espanya,30.65,Fred,Estiu,Postres,Adultsnens,Classic
Pastís de formatge amb fruits del bosc,Alta,Vegetarià,Forn,Formatge crema,Mitjana,Estatsunits,8.69,Fred,Anual,Postres,Adultsnens,Classic
Pastís de noces,Alta,Vegetarià,Forn,Pastís,Mitjana,Europa,6.94,Fred,Anual,Postres,Adultsnens,Classic
Profiteroles amb xocolata calenta,Alta,Vegetarià,Forn,Farina,Alta,França,9.87,Fred,Anual,Postres,Adultsnens,Classic
Sorbet de fruites del bosc,Baixa,Vegà,Gelat,Fruites del bosc,Baixa,Mundial,8.12,Fred,Estiu,Postres,Adultsnens,Classic
Sorbet de llimona al cava,Mitjana,Vegetarià,Gelat,Llimona,Baixa,Espanya,31.22,Fred,Estiu,Postres,Adultsnens,Classic
Sorbet de mandarina al cointreau,Mitjana,Vegetarià,Gelat,Mandarina,Baixa,França,5.14,Fred,Estiu,Postres,Adultsnens,Classic
Sorbet de mango,Baixa,Vegà,Gelat,Mango,Baixa,Àsia,8.5,Fred,Estiu,Postres,Adultsnens,Classic
Sorbet de mojito,Baixa,Vegà,Gelat,Menta,Baixa,Cuba,9.22,Fred,Estiu,Postres,Adultsnens,Classic
Sorbet de pinya colada,Mitjana,Vegetarià,Gelat,Pinya,Baixa,Cuba,05.09,Fred,Estiu,Postres,Adultsnens,Classic
Tiramisú,Alta,Vegetarià,Forn,Formatge mascarpone,Mitjana,Itàlia,6.37,Fred,Anual,Postres,Adultsnens,Classic
Tiramisú casolà,Alta,Vegetarià,Forn,Formatge mascarpone,Mitjana,Itàlia,7.82,Fred,Anual,Postres,Adultsnens,Classic
Botifarra,Baixa,Carn,Brasa,Porc,Alta,Espanya,8.78,Calent,Anual,Nan,Adultsnens,Classic
Formatge gorgonzola,Baixa,Vegetarià,Formatge,Llet de vaca,Alta,Itàlia,7.98,Ambient,Anual,Nan,Adultsnens,Classic
Formatge idiazábal,Baixa,Vegetarià,Formatge,Llet d'ovella,Mitjana,Espanya,13.12,Ambient,Anual,Nan,Adultsnens,Classic
Formatge manchego,Baixa,Vegetarià,Formatge,Llet d'ovella,Mitjana,Espanya,13.28,Ambient,Anual,Nan,Adultsnens,Classic
Formatge roquefort,Baixa,Vegetarià,Formatge,Llet de vaca,Alta,França,13.68,Ambient,Anual,Nan,Adultsnens,Classic
Pa i mantega,Baixa,Vegetarià,Pa,Farina,Baixa,Europa,13.74,Ambient,Anual,Nan,Adultsnens,Classic
Paletilla de pernil ibèric de gla,Alta,Carn,Embotit,Porc,Alta,Espanya,11.45,Ambient,Anual,Nan,Adultsnens,Classic
Pollastre yakitori,Mitjana,Carn,Broqueta,Pollastre,Mitjana,Japó,9.8,Calent,Primavera,Nan,Adultsnens,Classic
Pop a la brasa,Mitjana,Peix,Planxa,Pop,Alta,Espanya,13.62,Calent,Estiu,Nan,Adultsnens,Sibarita
Salmó marinat,Mitjana,Peix,Marinat,Salmó,Mitjana,Nordic,11.8,Fred,Anual,Nan,Adultsnens,Classic
Steak tàrtar,Alta,Carn,Tàrtar,Vedella,Alta,França,9.23,Fred,Anual,Nan,Adultsnens,Sibarita
Vieires i bolets,Alta,Peix,Planxa,Vieira,Alta,Espanya,12.25,Calent,Tardor,Nan,Adultsnens,Classic
Surtido de aceitunas,Baixa,Vegà,Snack,Oliva,Baixa,Espanya,6.0,Ambient,Anual,Entrants,Adultsnens,Classic
Chips de tubérculos,Baixa,Vegà,Snack,Patata,Baixa,Mundial,9.0,Ambient,Anual,Entrants,Adultsnens,Modern
"Atún con pipas, frutitas y soja",Alta,Peix,Pa,Tonyina,Mitjana,Japó,9.0,Fred,Anual,Entrants,Adultsnens,Modern
Tartaleta de queso con salmón y caviar,Alta,Peix,Formatge,Salmó,Alta,Nordic,12.0,Fred,Anual,Entrants,Adultsnens,Sibarita
Tortilla de patatas líquida con trufa,Alta,Vegetarià,Pa,Ou,Alta,Espanya,12.0,Calent,Anual,Entrants,Adultsnens,Sibarita
"Copa de ensalada de foie, jamón de pato y aceite de vainilla",Alta,Carn,Amanida,Foie,Alta,França,12.0,Fred,Anual,Entrants,Adultsnens,Sibarita
Pincho de pulpo a la gallega con patata,Mitjana,Peix,Pa,Pop,Mitjana,Espanya,8.0,Calent,Anual,Entrants,Adultsnens,Regional
Pincho de pavo a la mostaza almendrado,Mitjana,Carn,Pa,Gall dindi,Mitjana,Europa,6.0,Calent,Anual,Entrants,Adultsnens,Classic
Jamón ibérico,Baixa,Carn,Embotit,Porc,Alta,Espanya,6.0,Fred,Anual,Entrants,Adultsnens,Classic
Fideuà,Mitjana,Peix,Pasta,Marisc,Mitjana,Espanya,8.0,Calent,Estiu,Entrants,Adultsnens,Regional
Surtido de quesos con uvas y membrillo,Baixa,Vegetarià,Formatge,Formatge,Mitjana,Europa,6.0,Fred,Anual,Entrants,Adultsnens,Classic
Huevos de codorniz con tostas de sobrasada,Mitjana,Carn,Torrada,Ou,Mitjana,Espanya,9.0,Calent,Anual,Entrants,Adultsnens,Modern
Anchoas de roses con tiras de pimiento,Baixa,Peix,Aperitiu,Anxova,Mitjana,Espanya,8.0,Fred,Estiu,Entrants,Adultsnens,Regional
Tempura de verduritas y tiras de calamar,Mitjana,Peix,Fregit,Calamar,Mitjana,Japó,9.0,Calent,Anual,Entrants,Adultsnens,Modern
Navajas a la plancha,Mitjana,Peix,Aperitiu,Navaixa,Mitjana,Espanya,12.0,Calent,Estiu,Entrants,Adultsnens,Sibarita
Calamares a la romana,Baixa,Peix,Fregit,Calamar,Mitjana,Espanya,6.0,Calent,Anual,Entrants,Adultsnens,Classic
Croquetas,Baixa,Carn,Fregit,Pollastre,Baixa,Espanya,6.0,Calent,Anual,Entrants,Adultsnens,Classic
Corvina salvaje al horno con caldo de pimientos verdes y berberechos al vapor,Alta,Peix,Forn,Corvina,Alta,Mediterrani,25.0,Calent,Anual,Segon,Adultsnens,Sibarita
"Solomillo de cerdo ibérico con salsa de ceps, cebollitas escalibadas y puntas de espárragos a la brasa",Alta,Carn,Salsa,Porc,Alta,Espanya,25.0,Calent,Anual,Segon,Adultsnens,Sibarita
Melós de ternera cocinado lentamente con mini verduritas,Alta,Carn,Aperitiu,Vedella,Alta,Europa,20.0,Calent,Anual,Segon,Adultsnens,Classic
"Coulis de crema catalana, toffee, mandarina y garrapiñadas",Mitjana,No-lactosa,Crema calenta,Crema,Baixa,Espanya,7.0,Fred,Anual,Postre,Adultsnens,Regional
"Carpaccio de piña, frutos rojos y helado de yogurt",Mitjana,Vegetarià,Gelat,Pinya,Baixa,Mundial,8.0,Fred,Estiu,Postre,Adultsnens,Modern
Pastel nupcial st. honore,Alta,Vegetarià,Pa,Farina,Alta,França,6.0,Fred,Anual,Postre,Adultsnens,Classic
Petits fours y bombones,Mitjana,Vegetarià,Aperitiu,Xocolata,Baixa,França,10.0,Ambient,Anual,Postre,Adultsnens,Sibarita
"Suprema de daurada salvatge amb alls silvestres, gamba de palamós i brou de porros",Alta,Peix,Forn,Daurada,Alta,Mediterrani,25.0,Calent,Estiu,Segon,Adultsnens,Sibarita
Llom de llobarro marcat a la brasa amb pil-pil i cloïsses gallegues,Alta,Peix,Brasa,Llobarro,Alta,Espanya,26.0,Calent,Anual,Segon,Adultsnens,Sibarita
"Taco de bacallà amb espinacs, pinyons, panses i múrgoles",Alta,Peix,Forn,Bacallà,Mitjana,Espanya,22.0,Calent,Anual,Segon,Adultsnens,Regional
Carré de xai de llet al forn amb mini verdures,Alta,Carn,Forn,Xai,Alta,França,28.0,Calent,Anual,Segon,Adultsnens,Classic
Magret d’ànec a la brasa amb nyoquis de patata trufats i puré d’orellons,Alta,Carn,Brasa,Ànec,Alta,França,27.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Medalló de bou a la planxa amb salsa de vins de l’empordà,Alta,Carn,Planxa,Bou,Alta,Espanya,26.0,Calent,Anual,Segon,Adultsnens,Regional
Sopa de torró amb torrada caramel·litzada i gelat de rovell,Mitjana,Vegetarià,Crema freda,Torró,Mitjana,Espanya,8.0,Fred,Hivern,Postre,Adultsnens,Regional
"Sopa de festuc, gelatina de moscatell i sorbet de mandarina",Alta,Vegetarià,Crema freda,Festuc,Mitjana,Mediterrani,9.0,Fred,Estiu,Postre,Adultsnens,Sibarita
Amanida de gambes de roses amb cristall de farigola i tomàquets rostits,Mitjana,Peix,Amanida,Gamba,Mitjana,Mediterrani,12.0,Fred,Estiu,Primer,Adultsnens,Regional
"Tataki de tonyina del mediterrani amb pèsols, mongetes i kumquat",Alta,Peix,Brasa,Tonyina,Alta,Japó,24.0,Calent,Estiu,Segon,Adultsnens,Modern
Llobina salvatge amb cítrics i espàrrecs verds,Alta,Peix,Forn,Llobina,Alta,Mediterrani,25.0,Calent,Primavera,Segon,Adultsnens,Sibarita
"Lluç amb velouté de fonoll, porros joves a la brasa i oli de pau",Alta,Peix,Forn,Lluç,Alta,França,23.0,Calent,Primavera,Segon,Adultsnens,Classic
Royal de carxofes i foie amb gambes de roses,Alta,Carn,Forn,Foie,Alta,França,26.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Suprema de daurada al forn,Alta,Peix,Forn,Daurada,Alta,Mediterrani,22.0,Calent,Anual,Segon,Adultsnens,Classic
Pintó rostit al moment amb parmentier de blat de moro i pinyons torrats,Alta,Carn,Forn,Pintó,Alta,Espanya,25.0,Calent,Hivern,Segon,Adultsnens,Regional
Garrí ibèric cuit a baixa temperatura amb alls tendres i patates al caviar,Alta,Carn,Forn,Garrí,Alta,Espanya,28.0,Calent,Anual,Segon,Adultsnens,Sibarita
Espatlla de cabrit amb escalivada de verdures,Alta,Carn,Forn,Cabrit,Alta,Mediterrani,27.0,Calent,Anual,Segon,Adultsnens,Regional
Caneló de gambes,Mitjana,Peix,Pasta,Gamba,Mitjana,Espanya,14.0,Calent,Anual,Primer,Adultsnens,Classic
"Carpaccio de pinya, fruita de temporada i gelat de coco",Mitjana,Vegetarià,Amanida de fruita,Pinya,Baixa,Mediterrani,8.0,Fred,Estiu,Postre,Adultsnens,Modern
Suquet de rap i gambes de roses,Alta,Peix,Estofat,Rap,Alta,Espanya,25.0,Calent,Anual,Segon,Adultsnens,Regional
Llom de lluç amb cloïsses i kokotxes amb salsa verda,Alta,Peix,Forn,Lluç,Alta,Espanya,26.0,Calent,Anual,Segon,Adultsnens,Sibarita
Amanida de gambes de la llotja,Mitjana,Peix,Amanida,Gamba,Mitjana,Mediterrani,12.0,Fred,Estiu,Primer,Adultsnens,Regional
Suprema de corbina amb verdures de temporada,Alta,Peix,Forn,Corbina,Alta,Mediterrani,24.0,Calent,Primavera,Segon,Adultsnens,Classic
Cua de porc ibèric amb vieires i brou de ceba de figueres,Alta,Carn,Estofat,Porc,Alta,Espanya,27.0,Calent,Anual,Segon,Adultsnens,Sibarita
Mini sarsuela de la costa,Alta,Peix,Estofat,Lluç,Alta,Espanya,26.0,Calent,Estiu,Segon,Adultsnens,Regional
Pintó rostit al moment sobre trinxat i verdures,Alta,Carn,Forn,Pintó,Alta,Espanya,25.0,Calent,Hivern,Segon,Adultsnens,Regional
Capó rostit amb bolets de temporada,Alta,Carn,Forn,Capó,Alta,França,27.0,Calent,Tardor,Segon,Adultsnens,Classic
Espatlla de xai cuinada a baixa temperatura,Alta,Carn,Forn,Xai,Alta,Mediterrani,27.0,Calent,Anual,Segon,Adultsnens,Classic
Filet de vedella a la planxa amb patata farcida de foie i salsa de vi negre,Alta,Carn,Planxa,Vedella,Alta,França,28.0,Calent,Anual,Segon,Adultsnens,Sibarita
Garrí cuit a baixa temperatura,Alta,Carn,Forn,Garrí,Alta,Espanya,27.0,Calent,Anual,Segon,Adultsnens,Regional
Tournedó de filet de vedella amb mini verdures,Alta,Carn,Planxa,Vedella,Alta,França,28.0,Calent,Anual,Segon,Adultsnens,Classic
Petita mariscada de roses,Alta,Peix,Estofat,Marisc,Alta,Espanya,26.0,Fred,Estiu,Primer,Adultsnens,Sibarita
Rap al forn amb puré de pèsols amb mantega de tòfona,Alta,Peix,Forn,Rap,Alta,Mediterrani,27.0,Calent,Hivern,Segon,Adultsnens,Sibarita
"Ventresca de tonyina amb pèsols, tàperes i brots silvestres",Alta,Peix,Brasa,Tonyina,Alta,Mediterrani,26.0,Calent,Primavera,Segon,Adultsnens,Modern
Suprema de llobarro amb bolets a la graella i salsa de pebrot verd i patata,Alta,Peix,Brasa,Llobarro,Alta,Mediterrani,25.0,Calent,Tardor,Segon,Adultsnens,Regional
Solomillo de senglar jove amb poma,Alta,Carn,Forn,Senglar,Alta,Europa,28.0,Calent,Tardor,Segon,Adultsnens,Sibarita
Carré de xai al forn amb verdures de temporada,Alta,Carn,Forn,Xai,Alta,França,27.0,Calent,Primavera,Segon,Adultsnens,Classic
Colomí estofat amb remolatxa i maduixes silvestres,Alta,Carn,Estofat,Colomí,Alta,França,28.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Garrí confitat a baixa temperatura,Alta,Carn,Forn,Garrí,Alta,Espanya,27.0,Calent,Anual,Segon,Adultsnens,Regional
Solomillo de vedella amb patata farcida de foie i salsa demi-glace,Alta,Carn,Planxa,Vedella,Alta,França,28.0,Calent,Anual,Segon,Adultsnens,Sibarita
Tournedó de vedella amb mini verdures i ceps,Alta,Carn,Planxa,Vedella,Alta,França,28.0,Calent,Anual,Segon,Adultsnens,Classic
Crema catalana amb fruits vermells,Mitjana,Vegetarià,Crema freda,Llet,Mitjana,Espanya,8.0,Fred,Anual,Postre,Adultsnens,Classic
Calamars,Mitjana,Peix,Fregit,Calamar,Mitjana,Mediterrani,8.0,Calent,Anual,Entrant,Nens,Classic
Croquetes,Mitjana,Carn,Fregit,Pollastre,Mitjana,Espanya,7.0,Calent,Anual,Entrant,Adultsnens,Classic
Pa amb pernil,Baixa,Carn,Torrada,Pernil,Mitjana,Espanya,5.0,Fred,Anual,Entrant,Adultsnens,Regional
Piruletes salades,Baixa,Vegetarià,Snack,Formatge,Baixa,Europa,4.0,Fred,Anual,Entrant,Nens,Modern
Formatge babybel,Baixa,Vegetarià,Formatge,Llet,Baixa,França,3.0,Fred,Anual,Entrant,Nens,Classic
Mini pizzes,Mitjana,Vegetarià,Forn,Farina,Mitjana,Itàlia,6.0,Calent,Anual,Entrant,Nens,Modern
Entrepans variats,Baixa,Carn,Sandwich,Pernil,Mitjana,Europa,5.0,Fred,Anual,Entrant,Nens,Classic
Escalopa de pollastre amb patates,Mitjana,Carn,Reboçat,Pollastre,Mitjana,Alemanya,8.0,Calent,Anual,Segon,Nens,Classic
Costelles de xai amb patates,Mitjana,Carn,Brasa,Xai,Mitjana,Mediterrani,9.0,Calent,Primavera,Segon,Nens,Classic
Hamburguesa de filet de vedella,Mitjana,Carn,Planxa,Vedella,Mitjana,Estatsunits,8.0,Calent,Anual,Segon,Nens,Modern
Canelons casolans amb beixamel,Mitjana,Carn,Forn,Vedella,Mitjana,Espanya,8.0,Calent,Hivern,Segon,Nens,Classic
Espaguetis a la bolonyesa,Mitjana,Carn,Pasta,Vedella,Mitjana,Itàlia,8.0,Calent,Anual,Segon,Nens,Classic
Filet de vedella a la planxa amb patates,Mitjana,Carn,Planxa,Vedella,Mitjana,Europa,9.0,Calent,Anual,Segon,Nens,Classic
Llom de rap a la romana amb calamars,Alta,Peix,Fregit,Rap,Mitjana,Mediterrani,9.0,Calent,Estiu,Segon,Nens,Classic
Plat de fruites mediterrànies amb gelat de vainilla,Baixa,Vegetarià,Amanida de fruita,Fruita,Baixa,Mediterrani,5.0,Fred,Estiu,Postre,Nens,Modern
Crema freda de porros,Mitjana,Celíac,Crema freda,Porro,Mitjana,França,7.0,Fred,Estiu,Entrant,Adultsnens,Classic
Saltat d’espàrrecs verds,Mitjana,Celíac,Planxa,Espàrrec,Mitjana,Mediterrani,8.0,Calent,Primavera,Entrant,Adultsnens,Modern
Bogavante a la planxa,Alta,Celíac,Planxa,Bogavante,Alta,Mediterrani,20.0,Calent,Estiu,Entrant,Adultsnens,Sibarita
Amanida de verdures amb marisc,Mitjana,Celíac,Amanida,Marisc,Mitjana,Mediterrani,10.0,Fred,Estiu,Entrant,Adultsnens,Modern
Rotllets de carbassó farcits de tonyina i verdures,Mitjana,Celíac,Forn,Carbassó,Mitjana,Mediterrani,9.0,Calent,Primavera,Entrant,Adultsnens,Modern
Lluç amb vinagreta de tomàquet,Mitjana,Celíac,Forn,Lluç,Mitjana,Mediterrani,12.0,Calent,Estiu,Segon,Adultsnens,Classic
Risotto d’espàrrecs,Alta,Celíac,Estofat,Arròs,Mitjana,Itàlia,11.0,Calent,Primavera,Segon,Adultsnens,Classic
Broqueta de porc amb bolets,Mitjana,Celíac,Brasa,Porc,Mitjana,Mediterrani,11.0,Calent,Tardor,Segon,Adultsnens,Regional
Llom de rap al forn amb espàrrecs,Alta,Celíac,Forn,Rap,Alta,Mediterrani,14.0,Calent,Primavera,Segon,Adultsnens,Classic
Macedònia de fruites amb escuma de mango,Baixa,Celíac,Amanida de fruita,Fruita,Baixa,Mediterrani,6.0,Fred,Estiu,Postre,Adultsnens,Modern
"Hummus, babaganoush, muhammara i tzatziki amb pa pita fresc",Mitjana,Halal,Crema freda,Cigrons,Mitjana,OrientMitjà,8.0,Fred,Estiu,Entrants,Adultsnens,Regional
Broquetes de pollastre especiat halal,Mitjana,Halal,Brasa,Pollastre,Alta,Mediterrani,10.0,Calent,Estiu,Entrants,Adultsnens,Regional
Amanida fattoush amb verdures fresques i pa cruixent,Baixa,Halal,Amanida,Enciam,Baixa,Líban,7.0,Fred,Estiu,Entrants,Adultsnens,Modern
